"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	41	229287	17.9
	"Etowah County, AL"	"01055"	13	102371	Unreliable
	"Jefferson County, AL"	"01073"	219	655342	33.4
	"Madison County, AL"	"01089"	67	379453	17.7
	"Mobile County, AL"	"01097"	46	412716	11.1
	"Montgomery County, AL"	"01101"	18	224639	Unreliable
	"Morgan County, AL"	"01103"	14	119883	Unreliable
	"St. Clair County, AL"	"01115"	17	90739	Unreliable
	"Shelby County, AL"	"01117"	24	221428	10.8
	"Tuscaloosa County, AL"	"01125"	23	210758	10.9
	"Anchorage Borough, AK"	"02020"	64	287095	22.3
	"Matanuska-Susitna Borough, AK"	"02170"	18	110213	Unreliable
	"Apache County, AZ"	"04001"	14	71875	Unreliable
	"Cochise County, AZ"	"04003"	29	127450	22.8
	"Coconino County, AZ"	"04005"	29	142481	20.4
	"Gila County, AZ"	"04007"	10	54303	Unreliable
	"Maricopa County, AZ"	"04013"	1255	4579081	27.4
	"Mohave County, AZ"	"04015"	36	217206	16.6
	"Navajo County, AZ"	"04017"	21	112112	18.7
	"Pima County, AZ"	"04019"	305	1061175	28.7
	"Pinal County, AZ"	"04021"	82	480828	17.1
	"Santa Cruz County, AZ"	"04023"	16	46808	Unreliable
	"Yavapai County, AZ"	"04025"	68	240226	28.3
	"Benton County, AR"	"05007"	22	288774	7.6
	"Faulkner County, AR"	"05045"	17	126919	Unreliable
	"Garland County, AR"	"05051"	21	99789	21.0
	"Pulaski County, AR"	"05119"	73	392980	18.6
	"Saline County, AR"	"05125"	13	123968	Unreliable
	"Sebastian County, AR"	"05131"	18	127590	Unreliable
	"White County, AR"	"05145"	11	78729	Unreliable
	"Alameda County, CA"	"06001"	146	1662323	8.8
	"Butte County, CA"	"06007"	27	212744	12.7
	"Contra Costa County, CA"	"06013"	145	1152333	12.6
	"El Dorado County, CA"	"06017"	25	192925	13.0
	"Fresno County, CA"	"06019"	73	1000918	7.3
	"Humboldt County, CA"	"06023"	24	134977	17.8
	"Imperial County, CA"	"06025"	32	180267	17.8
	"Kern County, CA"	"06029"	224	901362	24.9
	"Kings County, CA"	"06031"	11	152692	Unreliable
	"Lake County, CA"	"06033"	18	64479	Unreliable
	"Los Angeles County, CA"	"06037"	1342	9943046	13.5
	"Marin County, CA"	"06041"	34	257332	13.2
	"Mendocino County, CA"	"06045"	20	86061	23.2
	"Merced County, CA"	"06047"	29	279252	10.4
	"Monterey County, CA"	"06053"	27	430906	6.3
	"Nevada County, CA"	"06057"	30	99606	30.1
	"Orange County, CA"	"06059"	514	3166857	16.2
	"Placer County, CA"	"06061"	45	402950	11.2
	"Riverside County, CA"	"06065"	403	2489188	16.2
	"Sacramento County, CA"	"06067"	109	1559146	7.0
	"San Bernardino County, CA"	"06071"	300	2189183	13.7
	"San Diego County, CA"	"06073"	535	3332427	16.1
	"San Francisco County, CA"	"06075"	444	866606	51.2
	"San Joaquin County, CA"	"06077"	86	767967	11.2
	"San Luis Obispo County, CA"	"06079"	58	282249	20.5
	"San Mateo County, CA"	"06081"	82	758308	10.8
	"Santa Barbara County, CA"	"06083"	16	444766	Unreliable
	"Santa Clara County, CA"	"06085"	147	1907105	7.7
	"Santa Cruz County, CA"	"06087"	26	269925	9.6
	"Shasta County, CA"	"06089"	29	179027	16.2
	"Solano County, CA"	"06095"	41	446935	9.2
	"Sonoma County, CA"	"06097"	113	489819	23.1
	"Stanislaus County, CA"	"06099"	78	550081	14.2
	"Sutter County, CA"	"06101"	12	96385	Unreliable
	"Tulare County, CA"	"06107"	39	468680	8.3
	"Ventura County, CA"	"06111"	142	841387	16.9
	"Yolo County, CA"	"06113"	10	219728	Unreliable
	"Yuba County, CA"	"06115"	10	80160	Unreliable
	"Adams County, CO"	"08001"	102	519883	19.6
	"Arapahoe County, CO"	"08005"	108	657452	16.4
	"Boulder County, CO"	"08013"	39	327171	11.9
	"Denver County, CO"	"08031"	220	735538	29.9
	"Douglas County, CO"	"08035"	16	360750	Unreliable
	"El Paso County, CO"	"08041"	143	728310	19.6
	"Fremont County, CO"	"08043"	12	47867	Unreliable
	"Jefferson County, CO"	"08059"	115	583283	19.7
	"Larimer County, CO"	"08069"	41	360428	11.4
	"Mesa County, CO"	"08077"	20	155603	12.9
	"Pueblo County, CO"	"08101"	26	169823	15.3
	"Weld County, CO"	"08123"	38	333983	11.4
	"Fairfield County, CT"	"09001"	208	942426	22.1
	"Hartford County, CT"	"09003"	341	889226	38.3
	"Litchfield County, CT"	"09005"	77	179610	42.9
	"Middlesex County, CT"	"09007"	56	161657	34.6
	"New Haven County, CT"	"09009"	371	851948	43.5
	"New London County, CT"	"09011"	102	264999	38.5
	"Tolland County, CT"	"09013"	47	150600	31.2
	"Windham County, CT"	"09015"	48	116540	41.2
	"Kent County, DE"	"10001"	56	183643	30.5
	"New Castle County, DE"	"10003"	245	561531	43.6
	"Sussex County, DE"	"10005"	106	241635	43.9
	"District of Columbia, DC"	"11001"	337	712816	47.3
	"Alachua County, FL"	"12001"	23	271218	8.5
	"Bay County, FL"	"12005"	45	171322	26.3
	"Brevard County, FL"	"12009"	308	608459	50.6
	"Broward County, FL"	"12011"	555	1958105	28.3
	"Charlotte County, FL"	"12015"	22	194711	11.3
	"Citrus County, FL"	"12017"	57	153010	37.3
	"Clay County, FL"	"12019"	63	221770	28.4
	"Collier County, FL"	"12021"	82	392973	20.9
	"Columbia County, FL"	"12023"	11	72654	Unreliable
	"Duval County, FL"	"12031"	458	966728	47.4
	"Escambia County, FL"	"12033"	100	322364	31.0
	"Flagler County, FL"	"12035"	41	118451	34.6
	"Hernando County, FL"	"12053"	50	198792	25.2
	"Highlands County, FL"	"12055"	31	106639	29.1
	"Hillsborough County, FL"	"12057"	404	1497957	27.0
	"Indian River County, FL"	"12061"	29	162518	17.8
	"Lake County, FL"	"12069"	77	375492	20.5
	"Lee County, FL"	"12071"	286	790767	36.2
	"Leon County, FL"	"12073"	25	295460	8.5
	"Levy County, FL"	"12075"	12	42214	Unreliable
	"Manatee County, FL"	"12081"	106	411219	25.8
	"Marion County, FL"	"12083"	152	373513	40.7
	"Martin County, FL"	"12085"	40	162088	24.7
	"Miami-Dade County, FL"	"12086"	293	2707303	10.8
	"Monroe County, FL"	"12087"	19	73900	Unreliable
	"Nassau County, FL"	"12089"	34	91113	37.3
	"Okaloosa County, FL"	"12091"	50	212820	23.5
	"Okeechobee County, FL"	"12093"	11	42297	Unreliable
	"Orange County, FL"	"12095"	305	1404396	21.7
	"Osceola County, FL"	"12097"	85	385315	22.1
	"Palm Beach County, FL"	"12099"	507	1507600	33.6
	"Pasco County, FL"	"12101"	86	570412	15.1
	"Pinellas County, FL"	"12103"	145	976802	14.8
	"Polk County, FL"	"12105"	127	744552	17.1
	"Putnam County, FL"	"12107"	15	74815	Unreliable
	"St. Johns County, FL"	"12109"	45	278715	16.1
	"St. Lucie County, FL"	"12111"	74	337186	21.9
	"Santa Rosa County, FL"	"12113"	39	189139	20.6
	"Sarasota County, FL"	"12115"	143	443465	32.2
	"Seminole County, FL"	"12117"	113	474171	23.8
	"Sumter County, FL"	"12119"	21	139018	15.1
	"Volusia County, FL"	"12127"	299	561497	53.3
	"Walton County, FL"	"12131"	10	76648	Unreliable
	"Barrow County, GA"	"13013"	11	85588	Unreliable
	"Bartow County, GA"	"13015"	23	109426	21.0
	"Bibb County, GA"	"13021"	11	152737	Unreliable
	"Carroll County, GA"	"13045"	26	121633	21.4
	"Catoosa County, GA"	"13047"	11	67996	Unreliable
	"Chatham County, GA"	"13051"	46	289463	15.9
	"Cherokee County, GA"	"13057"	47	265274	17.7
	"Clarke County, GA"	"13059"	12	127795	Unreliable
	"Clayton County, GA"	"13063"	24	292646	8.2
	"Cobb County, GA"	"13067"	118	762944	15.5
	"Columbia County, GA"	"13073"	20	160377	12.5
	"Coweta County, GA"	"13077"	11	150849	Unreliable
	"DeKalb County, GA"	"13089"	83	762009	10.9
	"Douglas County, GA"	"13097"	26	147988	17.6
	"Floyd County, GA"	"13115"	16	98604	Unreliable
	"Forsyth County, GA"	"13117"	19	250847	Unreliable
	"Fulton County, GA"	"13121"	132	1077402	12.3
	"Glynn County, GA"	"13127"	17	85568	Unreliable
	"Gwinnett County, GA"	"13135"	96	942627	10.2
	"Habersham County, GA"	"13137"	11	46047	Unreliable
	"Hall County, GA"	"13139"	27	206591	13.1
	"Henry County, GA"	"13151"	27	239139	11.3
	"Houston County, GA"	"13153"	15	160110	Unreliable
	"Muscogee County, GA"	"13215"	11	196442	Unreliable
	"Newton County, GA"	"13217"	14	113295	Unreliable
	"Paulding County, GA"	"13223"	27	173359	15.6
	"Richmond County, GA"	"13245"	46	202079	22.8
	"Rockdale County, GA"	"13247"	14	90939	Unreliable
	"Troup County, GA"	"13285"	10	70214	Unreliable
	"Walker County, GA"	"13295"	19	70116	Unreliable
	"Walton County, GA"	"13297"	13	96875	Unreliable
	"Whitfield County, GA"	"13313"	10	103837	Unreliable
	"Honolulu County, HI"	"15003"	46	963826	4.8
	"Maui County, HI"	"15009"	15	167902	Unreliable
	"Ada County, ID"	"16001"	52	494399	10.5
	"Canyon County, ID"	"16027"	14	237053	Unreliable
	"Kootenai County, ID"	"16055"	21	170628	12.3
	"Twin Falls County, ID"	"16083"	21	88411	23.8
	"Adams County, IL"	"17001"	10	64783	Unreliable
	"Champaign County, IL"	"17019"	36	209192	17.2
	"Cook County, IL"	"17031"	1662	5108284	32.5
	"DeKalb County, IL"	"17037"	18	104491	Unreliable
	"DuPage County, IL"	"17043"	130	917481	14.2
	"Grundy County, IL"	"17063"	18	50993	Unreliable
	"Kane County, IL"	"17089"	76	531010	14.3
	"Kankakee County, IL"	"17091"	39	108594	35.9
	"Kendall County, IL"	"17093"	16	130638	Unreliable
	"Lake County, IL"	"17097"	80	693593	11.5
	"LaSalle County, IL"	"17099"	22	107571	20.5
	"Livingston County, IL"	"17105"	12	35414	Unreliable
	"McHenry County, IL"	"17111"	61	305888	19.9
	"McLean County, IL"	"17113"	16	171256	Unreliable
	"Macon County, IL"	"17115"	19	103015	Unreliable
	"Madison County, IL"	"17119"	86	262635	32.7
	"Marion County, IL"	"17121"	10	37045	Unreliable
	"Peoria County, IL"	"17143"	30	177652	16.9
	"Rock Island County, IL"	"17161"	10	140907	Unreliable
	"St. Clair County, IL"	"17163"	74	258046	28.7
	"Sangamon County, IL"	"17167"	39	193882	20.1
	"Tazewell County, IL"	"17179"	19	130777	Unreliable
	"Vermilion County, IL"	"17183"	16	74855	Unreliable
	"Will County, IL"	"17197"	119	688726	17.3
	"Winnebago County, IL"	"17201"	130	281295	46.2
	"Allen County, IN"	"18003"	100	382187	26.2
	"Bartholomew County, IN"	"18005"	19	84447	Unreliable
	"Boone County, IN"	"18011"	18	69347	Unreliable
	"Clark County, IN"	"18019"	52	119266	43.6
	"Dearborn County, IN"	"18029"	14	49824	Unreliable
	"Decatur County, IN"	"18031"	10	26584	Unreliable
	"De Kalb County, IN"	"18033"	10	43670	Unreliable
	"Delaware County, IN"	"18035"	56	113454	49.4
	"Elkhart County, IN"	"18039"	18	206161	Unreliable
	"Fayette County, IN"	"18041"	19	22892	Unreliable
	"Floyd County, IN"	"18043"	30	78936	38.0
	"Franklin County, IN"	"18047"	10	22761	Unreliable
	"Grant County, IN"	"18053"	27	65225	41.4
	"Hamilton County, IN"	"18057"	37	344238	10.7
	"Hancock County, IN"	"18059"	17	79553	Unreliable
	"Harrison County, IN"	"18061"	10	40682	Unreliable
	"Hendricks County, IN"	"18063"	37	173251	21.4
	"Howard County, IN"	"18067"	29	82732	35.1
	"Huntington County, IN"	"18069"	11	36395	Unreliable
	"Jackson County, IN"	"18071"	11	44222	Unreliable
	"Johnson County, IN"	"18081"	57	160607	35.5
	"Lake County, IN"	"18089"	131	487536	26.9
	"La Porte County, IN"	"18091"	40	109663	36.5
	"Lawrence County, IN"	"18093"	10	45496	Unreliable
	"Madison County, IN"	"18095"	39	129681	30.1
	"Marion County, IN"	"18097"	513	966183	53.1
	"Monroe County, IN"	"18105"	35	148219	23.6
	"Morgan County, IN"	"18109"	16	70707	Unreliable
	"Porter County, IN"	"18127"	36	170980	21.1
	"Ripley County, IN"	"18137"	10	28448	Unreliable
	"St. Joseph County, IN"	"18141"	72	271484	26.5
