Year,State,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted)
2006,AL,2.7,8.7
2006,AK,4.1,11.1
2006,AZ,7.8,14.9
2006,AR,5.1,10.5
2006,CA,4.1,9.6
2006,CO,6.7,12.8
2006,CT,6.4,11.5
2006,DE,4.5,9.4
2006,DC,9.6,17.8
2006,FL,6.9,14.4
2006,GA,3.6,8.9
2006,HI,4,6.4
2006,ID,5,9.3
2006,IL,6.9,10.9
2006,IN,2.8,11.8
2006,IA,3.3,6.6
2006,KS,4.5,9.5
2006,KY,8,17.4
2006,LA,4.6,16.5
2006,ME,7.3,12
2006,MD,9.7,13.2
2006,MA,10.1,14.7
2006,MI,6,11.7
2006,MN,3,5.9
2006,MS,2.3,12.1
2006,MO,7.1,13
2006,MT,5.2,10.2
2006,NE,1.9,5.4
2006,NV,13.4,18
2006,NH,7.9,11.2
2006,NJ,4.3,9.7
2006,NM,12.5,21.8
2006,NY,5.2,8.6
2006,NC,7.8,11.8
2006,ND,NSD,NR
2006,OH,5.6,13.2
2006,OK,11.1,16.2
2006,OR,9.6,12.9
2006,PA,3.5,13.5
2006,RI,12.2,16.4
2006,SC,4.9,12.7
2006,SD,3.3,5.1
2006,TN,7.7,16
2006,TX,4.6,9.5
2006,UT,13.9,19.1
2006,VT,9.4,12.2
2006,VA,5.3,8
2006,WA,10,13.6
2006,WV,16.1,20.4
2006,WI,6,10.6
2006,WY,NR,10.6
2007,AL,3.6,11.1
2007,AK,NR,10.1
2007,AZ,7.7,15.7
2007,AR,5.4,10.9
2007,CA,4.5,10.5
2007,CO,7,14.7
2007,CT,7,12.2
2007,DE,5.1,11.4
2007,DC,5.2,10.8
2007,FL,8.2,15.4
2007,GA,4.1,9.7
2007,HI,5.7,10
2007,ID,4.3,8.6
2007,IL,5.5,9.4
2007,IN,3.9,12.4
2007,IA,3.6,6.9
2007,KS,4.4,10
2007,KY,8.1,16.7
2007,LA,4.9,18.8
2007,ME,8.1,12.4
2007,MD,10.3,13.2
2007,MA,9.9,14
2007,MI,5.1,12.2
2007,MN,3.4,6.4
2007,MS,3.3,11
2007,MO,6.7,12.3
2007,MT,6.3,12.8
2007,NE,2.4,4.8
2007,NV,14.2,18.9
2007,NH,10.9,13.8
2007,NJ,3.9,8.4
2007,NM,13.5,23.4
2007,NY,5.2,8.6
2007,NC,8.2,11.9
2007,ND,NR,4.8
2007,OH,6.2,13.9
2007,OK,13.9,18.8
2007,OR,9.4,13.2
2007,PA,4,13.9
2007,RI,8,12.4
2007,SC,4.5,12.1
2007,SD,2.5,4.1
2007,TN,7.8,15.8
2007,TX,4.3,9.3
2007,UT,14.7,21.3
2007,VT,8.8,10.8
2007,VA,6.4,8.9
2007,WA,9.7,14.4
2007,WV,19,22.4
2007,WI,6.7,11.1
2007,WY,4.6,12.3
2008,AL,4.1,13
2008,AK,12.5,18.1
2008,AZ,8.1,13.5
2008,AR,7.2,13.1
2008,CA,4.8,10.4
2008,CO,7,14.8
2008,CT,6.5,10.7
2008,DE,7.7,14.3
2008,DC,5.1,9.6
2008,FL,8.2,16.2
2008,GA,4.2,9.7
2008,HI,3.9,9
2008,ID,4.8,9.8
2008,IL,6.7,10.6
2008,IN,5,13.2
2008,IA,4.4,7.2
2008,KS,3.5,8
2008,KY,8.7,17.9
2008,LA,2.9,14.9
2008,ME,8.2,12.3
2008,MD,8.7,11.8
2008,MA,9.1,11.9
2008,MI,6.5,12.4
2008,MN,4.3,7.2
2008,MS,3.7,10.5
2008,MO,8.2,13.1
2008,MT,7.6,14.1
2008,NE,1.7,5.5
2008,NV,14.7,19.2
2008,NH,7,9.4
2008,NJ,3.8,8
2008,NM,16.6,26.7
2008,NY,5.6,8.5
2008,NC,9.1,12.8
2008,ND,5.1,7.4
2008,OH,7.2,15.1
2008,OK,11.4,15.6
2008,OR,9,11.8
2008,PA,4.9,14.9
2008,RI,12.5,17.3
2008,SC,4.8,12.5
2008,SD,4.2,7.3
2008,TN,7.7,14.8
2008,TX,3.9,8.5
2008,UT,14,19
2008,VT,8.6,10.9
2008,VA,6.2,9
2008,WA,10.1,14.8
2008,WV,21,25.7
2008,WI,6.6,10.6
2008,WY,7.6,14
2009,AL,4.5,13.6
2009,AK,12.5,17.9
2009,AZ,9.8,16.1
2009,AR,7.2,12.6
2009,CA,5.2,10.7
2009,CO,7.7,15
2009,CT,6.2,11
2009,DE,9.3,15.4
2009,DC,NSD,4.1
2009,FL,8.7,16.7
2009,GA,5,10.3
2009,HI,4.1,9.6
2009,ID,4.2,11.6
2009,IL,6.9,10.8
2009,IN,5,14
2009,IA,4.9,7.1
2009,KS,5.5,11.1
2009,KY,10.2,18
2009,LA,2.8,13.1
2009,ME,8.7,12.7
2009,MD,9.9,12.5
2009,MA,9.4,12.2
2009,MI,7.5,14.5
2009,MN,5.2,7.9
2009,MS,3.4,11.2
2009,MO,9,14.6
2009,MT,9.4,14.6
2009,NE,3.7,5.9
2009,NV,15.9,20.1
2009,NH,9.5,12.5
2009,NJ,0.7,3
2009,NM,10.2,22
2009,NY,5.4,8
2009,NC,9.1,12.6
2009,ND,NSD,4.4
2009,OH,5.9,10.9
2009,OK,15.5,20.6
2009,OR,9.5,12.9
2009,PA,5.2,15.2
2009,RI,10.6,14.8
2009,SC,5.2,13.3
2009,SD,4.6,6.7
2009,TN,8.5,15.2
2009,TX,4.6,9.8
2009,UT,14.7,19.1
2009,VT,6,8.3
2009,VA,5.9,8.5
2009,WA,10.2,14.3
2009,WV,10.3,12.4
2009,WI,6.9,10.9
2009,WY,5.7,11
2010,AL,4.1,11.8
2010,AK,8.7,11.6
2010,AZ,9.9,17.5
2010,AR,6.8,12.5
2010,CA,5,10.6
2010,CO,5.9,12.7
2010,CT,6.3,10.1
2010,DE,12,16.6
2010,DC,5.8,12.9
2010,FL,9.1,16.4
2010,GA,5.4,10.7
2010,HI,5.3,10.9
2010,ID,5.3,11.8
2010,IL,6.8,10
2010,IN,4.5,14.4
2010,IA,5.1,8.6
2010,KS,3.8,9.6
2010,KY,14.1,23.6
2010,LA,2.8,13.2
2010,ME,7.1,10.4
2010,MD,8.7,11
2010,MA,8.3,11
2010,MI,7,13.9
2010,MN,4.4,7.3
2010,MS,3.3,11.4
2010,MO,10.3,17
2010,MT,6.1,12.9
2010,NE,3.4,6.7
2010,NV,15.8,20.7
2010,NH,8.9,11.8
2010,NJ,4.2,9.8
2010,NM,9.5,23.8
2010,NY,5.4,7.8
2010,NC,8.1,11.4
2010,ND,NSD,3.4
2010,OH,10,16.1
2010,OK,13.9,19.4
2010,OR,8.5,12.9
2010,PA,5.1,15.3
2010,RI,10.5,15.5
2010,SC,5.9,14.6
2010,SD,4.5,6.3
2010,TN,10,16.9
2010,TX,4.4,9.6
2010,UT,12.8,16.9
2010,VT,6.8,9.7
2010,VA,4.8,6.8
2010,WA,8.9,13.1
2010,WV,25.6,28.9
2010,WI,7.3,10.9
2010,WY,8.5,15
2011,AL,3.8,11.8
2011,AK,8.7,14.2
2011,AZ,8.8,16.9
2011,AR,6.2,12.6
2011,CA,5,10.7
2011,CO,8,16.1
2011,CT,6,11.2
2011,DE,12.6,17.6
2011,DC,8,13.5
2011,FL,8.4,15.4
2011,GA,5.4,10.7
2011,HI,5.4,12.4
2011,ID,5.1,12.9
2011,IL,7.1,10.9
2011,IN,5.6,15.3
2011,IA,5.9,8.4
2011,KS,4.3,10.1
2011,KY,15.8,25
2011,LA,2.5,13.5
2011,ME,6.7,11.8
2011,MD,9.1,11.7
2011,MA,9.9,12.7
2011,MI,7.5,14.3
2011,MN,5.3,9.4
2011,MS,2.9,10.7
2011,MO,10.2,16.4
2011,MT,6.8,14.4
2011,NE,2.8,7.1
2011,NV,16.5,22.8
2011,NH,11.5,15.3
2011,NJ,5.1,11.3
2011,NM,11.9,26.3
2011,NY,6.8,9.7
2011,NC,8.6,13
2011,ND,NSD,NSD
2011,OH,11.2,17.7
2011,OK,13,18.9
2011,OR,10.1,13.5
2011,PA,6.2,18.3
2011,RI,13.3,17.7
2011,SC,5.3,13.3
2011,SD,4.5,7.1
2011,TN,10.1,17.2
2011,TX,4.6,10.1
2011,UT,14.6,19.5
2011,VT,9.1,12.9
2011,VA,7.1,9.7
2011,WA,9.9,14.1
2011,WV,31.5,36.3
2011,WI,8.3,12.1
2011,WY,7.5,15.2
2012,AL,3.6,12.1
2012,AK,10.8,17.4
2012,AZ,8.2,17.7
2012,AR,6,13.1
2012,CA,4.4,10.3
2012,CO,7.7,15
2012,CT,5.7,12.1
2012,DE,9.2,15.2
2012,DC,7.3,12.6
2012,FL,6.9,13.3
2012,GA,5.4,10.6
2012,HI,4.5,11
2012,ID,3.9,11.9
2012,IL,8.9,12.5
2012,IN,5.9,16
2012,IA,5.9,8.7
