,County,State,County FIPS Code,Opioid Dispensing Rate per 100,year
0,"Aleutians East, AK",AK,2013,–,2007
1,"Aleutians West, AK",AK,2016,–,2007
2,"Anchorage, AK",AK,2020,75.5,2007
3,"Bethel, AK",AK,2050,–,2007
4,"Bristol Bay, AK",AK,2060,–,2007
5,"Denali, AK",AK,2068,–,2007
6,"Dillingham, AK",AK,2070,–,2007
7,"Fairbanks North Star, AK",AK,2090,58.3,2007
8,"Haines, AK",AK,2100,–,2007
9,"Hoonah-Angoon, AK",AK,2105,–,2007
10,"Juneau, AK",AK,2110,95.5,2007
11,"Kenai Peninsula, AK",AK,2122,91.0,2007
12,"Ketchikan Gateway, AK",AK,2130,135.0,2007
13,"Kodiak Island, AK",AK,2150,83.8,2007
14,"Lake and Peninsula, AK",AK,2164,–,2007
15,"Matanuska-Susitna, AK",AK,2170,88.3,2007
16,"Nome, AK",AK,2180,–,2007
17,"North Slope, AK",AK,2185,–,2007
18,"Northwest Arctic, AK",AK,2188,–,2007
19,"Petersburg, AK",AK,2195,89.3,2007
20,"Prince of Wales-Hyder, AK",AK,2198,–,2007
21,"Sitka, AK",AK,2220,–,2007
22,"Skagway, AK",AK,2230,–,2007
23,"Southeast Fairbanks, AK",AK,2240,–,2007
24,"Valdez-Cordova, AK",AK,2261,55.0,2007
25,"Wade Hampton, AK",AK,2270,–,2007
26,"Wrangell, AK",AK,2275,29.0,2007
27,"Yakutat, AK",AK,2282,–,2007
28,"Yukon-Koyukuk, AK",AK,2290,–,2007
29,"Autauga, AL",AL,1001,135.8,2007
30,"Baldwin, AL",AL,1003,133.2,2007
31,"Barbour, AL",AL,1005,72.7,2007
32,"Bibb, AL",AL,1007,116.1,2007
33,"Blount, AL",AL,1009,44.6,2007
34,"Bullock, AL",AL,1011,37.7,2007
35,"Butler, AL",AL,1013,102.0,2007
36,"Calhoun, AL",AL,1015,173.4,2007
37,"Chambers, AL",AL,1017,133.8,2007
38,"Cherokee, AL",AL,1019,137.5,2007
39,"Chilton, AL",AL,1021,111.9,2007
40,"Choctaw, AL",AL,1023,99.8,2007
41,"Clarke, AL",AL,1025,126.1,2007
42,"Clay, AL",AL,1027,118.6,2007
43,"Cleburne, AL",AL,1029,23.9,2007
44,"Coffee, AL",AL,1031,118.4,2007
45,"Colbert, AL",AL,1033,215.3,2007
46,"Conecuh, AL",AL,1035,156.9,2007
47,"Coosa, AL",AL,1037,32.7,2007
48,"Covington, AL",AL,1039,206.9,2007
49,"Crenshaw, AL",AL,1041,100.6,2007
50,"Cullman, AL",AL,1043,150.6,2007
51,"Dale, AL",AL,1045,61.5,2007
52,"Dallas, AL",AL,1047,84.6,2007
53,"DeKalb, AL",AL,1049,45.2,2007
54,"Elmore, AL",AL,1051,88.6,2007
55,"Escambia, AL",AL,1053,105.5,2007
56,"Etowah, AL",AL,1055,133.2,2007
57,"Fayette, AL",AL,1057,85.8,2007
58,"Franklin, AL",AL,1059,144.7,2007
59,"Geneva, AL",AL,1061,23.5,2007
60,"Greene, AL",AL,1063,40.7,2007
61,"Hale, AL",AL,1065,63.4,2007
62,"Henry, AL",AL,1067,39.3,2007
63,"Houston, AL",AL,1069,167.1,2007
