,State,County,County FIPS Code,Opioid Dispensing Rate per 100,year
0,AL,Autauga County,1001,101.3,2019
1,AL,Baldwin County,1003,67.6,2019
2,AL,Barbour County,1005,27.2,2019
3,AL,Bibb County,1007,21.0,2019
4,AL,Blount County,1009,23.7,2019
5,AL,Bullock County,1011,24.7,2019
6,AL,Butler County,1013,40.6,2019
7,AL,Calhoun County,1015,106.3,2019
8,AL,Chambers County,1017,58.0,2019
9,AL,Cherokee County,1019,46.5,2019
10,AL,Chilton County,1021,41.2,2019
11,AL,Choctaw County,1023,37.5,2019
12,AL,Clarke County,1025,66.3,2019
13,AL,Clay County,1027,84.5,2019
14,AL,Cleburne County,1029,14.5,2019
15,AL,Coffee County,1031,79.8,2019
16,AL,Colbert County,1033,156.9,2019
17,AL,Conecuh County,1035,110.5,2019
18,AL,Coosa County,1037,0.0,2019
19,AL,Covington County,1039,94.2,2019
20,AL,Crenshaw County,1041,33.1,2019
21,AL,Cullman County,1043,87.1,2019
22,AL,Dale County,1045,34.0,2019
23,AL,Dallas County,1047,65.0,2019
24,AL,DeKalb County,1049,62.6,2019
25,AL,Elmore County,1051,28.1,2019
26,AL,Escambia County,1053,76.6,2019
27,AL,Etowah County,1055,102.8,2019
28,AL,Fayette County,1057,48.5,2019
29,AL,Franklin County,1059,92.3,2019
30,AL,Geneva County,1061,15.1,2019
31,AL,Greene County,1063,25.2,2019
32,AL,Hale County,1065,22.2,2019
33,AL,Henry County,1067,52.3,2019
34,AL,Houston County,1069,146.1,2019
35,AL,Jackson County,1071,82.3,2019
36,AL,Jefferson County,1073,143.5,2019
37,AL,Lamar County,1075,13.8,2019
38,AL,Lauderdale County,1077,58.5,2019
39,AL,Lawrence County,1079,30.4,2019
40,AL,Lee County,1081,39.5,2019
41,AL,Limestone County,1083,33.1,2019
42,AL,Lowndes County,1085,9.2,2019
43,AL,Macon County,1087,10.6,2019
44,AL,Madison County,1089,97.8,2019
45,AL,Marengo County,1091,72.3,2019
46,AL,Marion County,1093,108.7,2019
47,AL,Marshall County,1095,97.2,2019
48,AL,Mobile County,1097,108.4,2019
49,AL,Monroe County,1099,48.9,2019
50,AL,Montgomery County,1101,93.2,2019
51,AL,Morgan County,1103,69.2,2019
52,AL,Perry County,1105,15.3,2019
53,AL,Pickens County,1107,33.6,2019
54,AL,Pike County,1109,36.6,2019
55,AL,Randolph County,1111,56.1,2019
56,AL,Russell County,1113,34.6,2019
57,AL,St. Clair County,1115,61.9,2019
58,AL,Shelby County,1117,76.9,2019
59,AL,Sumter County,1119,38.0,2019
60,AL,Talladega County,1121,41.3,2019
61,AL,Tallapoosa County,1123,47.0,2019
62,AL,Tuscaloosa County,1125,96.5,2019
63,AL,Walker County,1127,132.7,2019
64,AL,Washington County,1129,28.1,2019
65,AL,Wilcox County,1131,26.5,2019
66,AL,Winston County,1133,66.8,2019
67,AK,Aleutians East Borough,2013,10.6,2019
68,AK,Aleutians West Census Area,2016,2.5,2019
69,AK,Anchorage Municipality,2020,56.0,2019
70,AK,Bethel Census Area,2050,6.9,2019
71,AK,Bristol Bay Borough,2060,4.1,2019
72,AK,Denali Borough,2068,8.3,2019
73,AK,Dillingham Census Area,2070,4.9,2019
74,AK,Fairbanks North Star Borough,2090,29.5,2019
75,AK,Haines Borough,2100,1.2,2019
76,AK,Hoonah-Angoon Census Area,2105,5.3,2019
77,AK,Juneau City and Borough,2110,36.2,2019
78,AK,Kenai Peninsula Borough,2122,53.0,2019
79,AK,Ketchikan Gateway Borough,2130,50.4,2019
80,AK,Kodiak Island Borough,2150,18.3,2019
81,AK,Lake and Peninsula Borough,2164,0.3,2019
82,AK,Matanuska-Susitna Borough,2170,30.7,2019
83,AK,Nome Census Area,2180,2.2,2019
84,AK,North Slope Borough,2185,3.1,2019
85,AK,Northwest Arctic Borough,2188,2.7,2019
86,AK,Petersburg Borough,2195,68.8,2019
87,AK,Prince of Wales-Hyder Census Area,2198,23.0,2019
88,AK,Sitka City and Borough,2220,16.6,2019
89,AK,Skagway Municipality,2230,5.2,2019
90,AK,Southeast Fairbanks Census Area,2240,12.7,2019
91,AK,Valdez-Cordova Census Area,2261,18.0,2019
92,AK,Wrangell City and Borough,2275,6.7,2019
93,AK,Yakutat City and Borough,2282,5.3,2019
94,AK,Yukon-Koyukuk Census Area,2290,1.2,2019
95,AZ,Apache County,4001,7.3,2019
96,AZ,Cochise County,4003,37.9,2019
97,AZ,Coconino County,4005,34.9,2019
98,AZ,Gila County,4007,46.4,2019
99,AZ,Graham County,4009,44.0,2019
100,AZ,Greenlee County,4011,2.5,2019
101,AZ,La Paz County,4012,18.7,2019
102,AZ,Maricopa County,4013,46.5,2019
103,AZ,Mohave County,4015,70.6,2019
104,AZ,Navajo County,4017,47.1,2019
105,AZ,Pima County,4019,52.3,2019
106,AZ,Pinal County,4021,11.5,2019
107,AZ,Santa Cruz County,4023,8.4,2019
108,AZ,Yavapai County,4025,49.4,2019
109,AZ,Yuma County,4027,24.6,2019
110,AR,Arkansas County,5001,74.7,2019
111,AR,Ashley County,5003,28.3,2019
112,AR,Baxter County,5005,126.7,2019
113,AR,Benton County,5007,44.3,2019
114,AR,Boone County,5009,73.9,2019
115,AR,Bradley County,5011,80.7,2019
116,AR,Calhoun County,5013,16.2,2019
117,AR,Carroll County,5015,37.2,2019
118,AR,Chicot County,5017,93.4,2019
119,AR,Clark County,5019,56.8,2019
120,AR,Clay County,5021,76.3,2019
121,AR,Cleburne County,5023,50.6,2019
122,AR,Cleveland County,5025,2.5,2019
123,AR,Columbia County,5027,52.2,2019
124,AR,Conway County,5029,38.0,2019
125,AR,Craighead County,5031,167.8,2019
126,AR,Crawford County,5033,55.1,2019
127,AR,Crittenden County,5035,69.0,2019
128,AR,Cross County,5037,60.3,2019
129,AR,Dallas County,5039,40.2,2019
130,AR,Desha County,5041,94.1,2019
131,AR,Drew County,5043,93.5,2019
132,AR,Faulkner County,5045,63.2,2019
133,AR,Franklin County,5047,42.7,2019
134,AR,Fulton County,5049,63.0,2019
135,AR,Garland County,5051,119.7,2019
136,AR,Grant County,5053,13.7,2019
137,AR,Greene County,5055,100.2,2019
138,AR,Hempstead County,5057,39.8,2019
139,AR,Hot Spring County,5059,40.2,2019
140,AR,Howard County,5061,69.6,2019
141,AR,Independence County,5063,140.3,2019
142,AR,Izard County,5065,80.7,2019
143,AR,Jackson County,5067,46.4,2019
144,AR,Jefferson County,5069,106.1,2019
145,AR,Johnson County,5071,62.9,2019
146,AR,Lafayette County,5073,92.0,2019
147,AR,Lawrence County,5075,42.6,2019
148,AR,Lee County,5077,69.5,2019
149,AR,Lincoln County,5079,13.3,2019
150,AR,Little River County,5081,87.6,2019
151,AR,Logan County,5083,21.1,2019
152,AR,Lonoke County,5085,18.8,2019
153,AR,Madison County,5087,34.9,2019
154,AR,Marion County,5089,10.0,2019
155,AR,Miller County,5091,79.6,2019
156,AR,Mississippi County,5093,60.4,2019
157,AR,Monroe County,5095,11.6,2019
158,AR,Montgomery County,5097,80.9,2019
159,AR,Nevada County,5099,20.9,2019
160,AR,Newton County,5101,2.2,2019
161,AR,Ouachita County,5103,69.3,2019
162,AR,Perry County,5105,13.0,2019
163,AR,Phillips County,5107,92.0,2019
164,AR,Pike County,5109,37.7,2019
165,AR,Poinsett County,5111,81.1,2019
166,AR,Polk County,5113,54.2,2019
167,AR,Pope County,5115,46.5,2019
168,AR,Prairie County,5117,19.4,2019
169,AR,Pulaski County,5119,149.5,2019
170,AR,Randolph County,5121,31.3,2019
171,AR,St. Francis County,5123,44.9,2019
172,AR,Saline County,5125,43.6,2019
173,AR,Scott County,5127,57.3,2019
174,AR,Searcy County,5129,29.3,2019
175,AR,Sebastian County,5131,131.4,2019
176,AR,Sevier County,5133,17.7,2019
177,AR,Sharp County,5135,48.4,2019
178,AR,Stone County,5137,94.5,2019
179,AR,Union County,5139,121.2,2019
180,AR,Van Buren County,5141,43.9,2019
181,AR,Washington County,5143,82.9,2019
182,AR,White County,5145,55.9,2019
183,AR,Woodruff County,5147,27.3,2019
184,AR,Yell County,5149,35.6,2019
185,CA,Alameda County,6001,20.4,2019
186,CA,Alpine County,6003,24.1,2019
187,CA,Amador County,6005,29.4,2019
188,CA,Butte County,6007,70.0,2019
189,CA,Calaveras County,6009,27.7,2019
190,CA,Colusa County,6011,27.3,2019
191,CA,Contra Costa County,6013,25.8,2019
192,CA,Del Norte County,6015,56.2,2019
193,CA,El Dorado County,6017,30.0,2019
194,CA,Fresno County,6019,46.2,2019
195,CA,Glenn County,6021,36.4,2019
196,CA,Humboldt County,6023,55.6,2019
197,CA,Imperial County,6025,27.6,2019
198,CA,Inyo County,6027,26.2,2019
199,CA,Kern County,6029,37.4,2019
200,CA,Kings County,6031,36.2,2019
201,CA,Lake County,6033,34.6,2019
202,CA,Lassen County,6035,46.5,2019
203,CA,Los Angeles County,6037,26.8,2019
204,CA,Madera County,6039,19.4,2019
205,CA,Marin County,6041,22.5,2019
206,CA,Mariposa County,6043,17.3,2019
207,CA,Mendocino County,6045,59.3,2019
208,CA,Merced County,6047,36.5,2019
209,CA,Modoc County,6049,31.2,2019
210,CA,Mono County,6051,30.8,2019
211,CA,Monterey County,6053,28.6,2019
212,CA,Napa County,6055,27.2,2019
213,CA,Nevada County,6057,42.1,2019
214,CA,Orange County,6059,31.8,2019
215,CA,Placer County,6061,48.8,2019
216,CA,Plumas County,6063,46.8,2019
217,CA,Riverside County,6065,29.6,2019
218,CA,Sacramento County,6067,37.0,2019
219,CA,San Benito County,6069,15.9,2019
220,CA,San Bernardino County,6071,37.5,2019
221,CA,San Diego County,6073,27.8,2019
222,CA,San Francisco County,6075,34.5,2019
223,CA,San Joaquin County,6077,27.4,2019
224,CA,San Luis Obispo County,6079,45.3,2019
225,CA,San Mateo County,6081,19.8,2019
226,CA,Santa Barbara County,6083,43.0,2019
227,CA,Santa Clara County,6085,20.0,2019
228,CA,Santa Cruz County,6087,29.0,2019
229,CA,Shasta County,6089,70.6,2019
230,CA,Sierra County,6091,5.5,2019
231,CA,Siskiyou County,6093,61.1,2019
232,CA,Solano County,6095,22.9,2019
233,CA,Sonoma County,6097,33.3,2019
234,CA,Stanislaus County,6099,59.6,2019
235,CA,Sutter County,6101,75.5,2019
236,CA,Tehama County,6103,42.6,2019
237,CA,Trinity County,6105,36.0,2019
238,CA,Tulare County,6107,39.3,2019
239,CA,Tuolumne County,6109,65.8,2019
240,CA,Ventura County,6111,32.9,2019
241,CA,Yolo County,6113,24.7,2019
242,CA,Yuba County,6115,32.1,2019
243,CO,Adams County,8001,32.0,2019
244,CO,Alamosa County,8003,42.5,2019
245,CO,Arapahoe County,8005,44.0,2019
246,CO,Archuleta County,8007,38.1,2019
247,CO,Baca County,8009,48.3,2019
248,CO,Bent County,8011,48.8,2019
249,CO,Boulder County,8013,44.0,2019
250,CO,Broomfield County,8014,42.6,2019
251,CO,Chaffee County,8015,40.5,2019
252,CO,Cheyenne County,8017,16.8,2019
253,CO,Clear Creek County,8019,2.7,2019
254,CO,Conejos County,8021,30.7,2019
255,CO,Costilla County,8023,1.2,2019
256,CO,Crowley County,8025,4.8,2019
257,CO,Custer County,8027,3.5,2019
258,CO,Delta County,8029,37.5,2019
259,CO,Denver County,8031,40.1,2019
260,CO,Dolores County,8033,74.7,2019
261,CO,Douglas County,8035,26.7,2019
262,CO,Eagle County,8037,49.8,2019
263,CO,Elbert County,8039,10.5,2019
264,CO,El Paso County,8041,48.6,2019
265,CO,Fremont County,8043,36.3,2019
266,CO,Garfield County,8045,32.9,2019
267,CO,Gilpin County,8047,0.5,2019
268,CO,Grand County,8049,12.7,2019
269,CO,Gunnison County,8051,24.4,2019
270,CO,Hinsdale County,8053,14.9,2019
271,CO,Huerfano County,8055,44.9,2019
272,CO,Jackson County,8057,18.4,2019
273,CO,Jefferson County,8059,39.9,2019
274,CO,Kiowa County,8061,18.0,2019
275,CO,Kit Carson County,8063,36.8,2019
276,CO,Lake County,8065,13.0,2019
277,CO,La Plata County,8067,53.7,2019
278,CO,Larimer County,8069,40.8,2019
279,CO,Las Animas County,8071,70.3,2019
280,CO,Lincoln County,8073,18.6,2019
281,CO,Logan County,8075,31.8,2019
282,CO,Mesa County,8077,57.2,2019
283,CO,Mineral County,8079,0.1,2019
284,CO,Moffat County,8081,38.4,2019
285,CO,Montezuma County,8083,37.2,2019
286,CO,Montrose County,8085,41.9,2019
287,CO,Morgan County,8087,24.9,2019
288,CO,Otero County,8089,45.6,2019
289,CO,Ouray County,8091,17.0,2019
290,CO,Park County,8093,0.5,2019
291,CO,Phillips County,8095,31.2,2019
292,CO,Pitkin County,8097,33.2,2019
293,CO,Prowers County,8099,24.2,2019
294,CO,Pueblo County,8101,74.1,2019
295,CO,Rio Blanco County,8103,31.9,2019
296,CO,Rio Grande County,8105,63.6,2019
297,CO,Routt County,8107,38.8,2019
298,CO,Saguache County,8109,0.0,2019
299,CO,San Miguel County,8113,19.5,2019
300,CO,Sedgwick County,8115,24.1,2019
301,CO,Summit County,8117,32.0,2019
302,CO,Teller County,8119,23.3,2019
303,CO,Washington County,8121,4.3,2019
304,CO,Weld County,8123,22.9,2019
305,CO,Yuma County,8125,39.6,2019
306,CT,Fairfield County,9001,37.4,2019
307,CT,Hartford County,9003,43.6,2019
308,CT,Litchfield County,9005,24.2,2019
309,CT,Middlesex County,9007,32.2,2019
310,CT,New Haven County,9009,51.3,2019
311,CT,New London County,9011,38.5,2019
312,CT,Tolland County,9013,19.6,2019
313,CT,Windham County,9015,31.4,2019
314,DE,Kent County,10001,38.8,2019
315,DE,New Castle County,10003,53.5,2019
316,DE,Sussex County,10005,56.8,2019
317,DC,District of Columbia,11001,39.9,2019
318,FL,Alachua County,12001,100.2,2019
319,FL,Baker County,12003,16.3,2019
320,FL,Bay County,12005,84.2,2019
321,FL,Bradford County,12007,22.1,2019
322,FL,Brevard County,12009,56.5,2019
323,FL,Broward County,12011,35.0,2019
324,FL,Calhoun County,12013,32.6,2019
325,FL,Charlotte County,12015,64.7,2019
326,FL,Citrus County,12017,52.9,2019
327,FL,Clay County,12019,58.8,2019
328,FL,Collier County,12021,39.1,2019
329,FL,Columbia County,12023,47.9,2019
330,FL,DeSoto County,12027,11.2,2019
331,FL,Dixie County,12029,10.1,2019
332,FL,Duval County,12031,78.3,2019
