State,County,State_County FIPS Code,State FIPS code,County FIPS Code,Opioid Dispensing Rate per 100
AL,AUTAUGA,1001,1,1,98.3
AL,BALDWIN,1003,1,3,65.0
AL,BARBOUR,1005,1,5,22.8
AL,BIBB,1007,1,7,24.8
AL,BLOUNT,1009,1,9,22.8
AL,BULLOCK,1011,1,11,22.0
AL,BUTLER,1013,1,13,35.1
AL,CALHOUN,1015,1,15,97.9
AL,CHAMBERS,1017,1,17,60.5
AL,CHEROKEE,1019,1,19,50.6
AL,CHILTON,1021,1,21,39.3
AL,CHOCTAW,1023,1,23,37.8
AL,CLARKE,1025,1,25,65.9
AL,CLAY,1027,1,27,81.7
AL,CLEBURNE,1029,1,29,5.7
AL,COFFEE,1031,1,31,74.4
AL,COLBERT,1033,1,33,150.0
AL,CONECUH,1035,1,35,113.3
AL,COOSA,1037,1,37,0.0
AL,COVINGTON,1039,1,39,85.3
AL,CRENSHAW,1041,1,41,33.4
AL,CULLMAN,1043,1,43,81.1
AL,DALE,1045,1,45,31.8
AL,DALLAS,1047,1,47,62.7
AL,DE KALB,1049,1,49,64.3
AL,ELMORE,1051,1,51,26.8
AL,ESCAMBIA,1053,1,53,81.2
AL,ETOWAH,1055,1,55,102.8
AL,FAYETTE,1057,1,57,53.6
AL,FRANKLIN,1059,1,59,89.4
AL,GENEVA,1061,1,61,17.0
AL,GREENE,1063,1,63,16.5
AL,HALE,1065,1,65,22.6
AL,HENRY,1067,1,67,46.2
AL,HOUSTON,1069,1,69,136.5
AL,JACKSON,1071,1,71,71.7
AL,JEFFERSON,1073,1,73,139.0
AL,LAMAR,1075,1,75,10.7
AL,LAUDERDALE,1077,1,77,57.3
AL,LAWRENCE,1079,1,79,28.3
AL,LEE,1081,1,81,35.4
AL,LIMESTONE,1083,1,83,26.9
AL,LOWNDES,1085,1,85,8.3
AL,MACON,1087,1,87,11.3
AL,MADISON,1089,1,89,87.3
AL,MARENGO,1091,1,91,58.8
AL,MARION,1093,1,93,106.0
AL,MARSHALL,1095,1,95,92.2
AL,MOBILE,1097,1,97,98.0
AL,MONROE,1099,1,99,53.7
AL,MONTGOMERY,1101,1,101,86.3
AL,MORGAN,1103,1,103,67.9
AL,PERRY,1105,1,105,17.3
AL,PICKENS,1107,1,107,43.7
AL,PIKE,1109,1,109,38.5
AL,RANDOLPH,1111,1,111,47.0
AL,RUSSELL,1113,1,113,35.9
AL,SAINT CLAIR,1115,1,115,63.0
AL,SHELBY,1117,1,117,64.6
AL,SUMTER,1119,1,119,41.9
AL,TALLADEGA,1121,1,121,39.7
AL,TALLAPOOSA,1123,1,123,43.4
AL,TUSCALOOSA,1125,1,125,86.6
AL,WALKER,1127,1,127,123.0
AL,WASHINGTON,1129,1,129,29.4
AL,WILCOX,1131,1,131,16.0
AL,WINSTON,1133,1,133,65.0
AK,ALEUTIANS EAST,2013,2,13,9.6
AK,ALEUTIANS WEST,2016,2,16,2.1
AK,ANCHORAGE,2020,2,20,47.2
AK,BETHEL,2050,2,50,8.8
AK,BRISTOL BAY,2060,2,60,6.4
AK,DENALI,2068,2,68,5.2
AK,DILLINGHAM,2070,2,70,1.7
AK,FAIRBANKS NORTH STAR,2090,2,90,29.7
AK,HAINES,2100,2,100,0.5
AK,HOONAH ANGOON,2105,2,105,3.0
AK,JUNEAU,2110,2,110,29.2
AK,KENAI PENINSULA,2122,2,122,47.3
AK,KETCHIKAN GATEWAY,2130,2,130,49.5
AK,KODIAK ISLAND,2150,2,150,18.0
AK,KUSILVAK,2158,2,158,1.0
AK,MATANUSKA SUSITNA,2170,2,170,38.0
AK,NOME,2180,2,180,3.0
AK,NORTH SLOPE,2185,2,185,2.2
AK,NORTHWEST ARCTIC,2188,2,188,11.2
AK,PETERSBURG,2195,2,195,67.0
AK,PRINCE OF WALES HYDER,2198,2,198,18.0
AK,SITKA,2220,2,220,14.8
AK,SKAGWAY,2230,2,230,10.4
AK,SOUTHEAST FAIRBANKS,2240,2,240,14.1
AK,WRANGELL,2275,2,275,3.9
AK,YAKUTAT,2282,2,282,8.1
AK,YUKON KOYUKUK,2290,2,290,2.6
AZ,APACHE,4001,4,1,4.9
AZ,COCHISE,4003,4,3,34.4
AZ,COCONINO,4005,4,5,32.2
AZ,GILA,4007,4,7,42.8
AZ,GRAHAM,4009,4,9,51.6
AZ,GREENLEE,4011,4,11,1.6
AZ,LA PAZ,4012,4,12,14.8
AZ,MARICOPA,4013,4,13,42.4
AZ,MOHAVE,4015,4,15,66.4
AZ,NAVAJO,4017,4,17,43.6
AZ,PIMA,4019,4,19,46.9
AZ,PINAL,4021,4,21,10.5
AZ,SANTA CRUZ,4023,4,23,5.9
AZ,YAVAPAI,4025,4,25,48.6
AZ,YUMA,4027,4,27,28.2
AR,ARKANSAS,5001,5,1,70.7
AR,ASHLEY,5003,5,3,26.0
AR,BAXTER,5005,5,5,136.7
AR,BENTON,5007,5,7,37.1
AR,BOONE,5009,5,9,67.2
AR,BRADLEY,5011,5,11,73.8
AR,CALHOUN,5013,5,13,15.3
AR,CARROLL,5015,5,15,37.4
AR,CHICOT,5017,5,17,90.0
AR,CLARK,5019,5,19,54.7
AR,CLAY,5021,5,21,72.7
AR,CLEBURNE,5023,5,23,53.9
AR,CLEVELAND,5025,5,25,4.9
AR,COLUMBIA,5027,5,27,51.7
AR,CONWAY,5029,5,29,38.2
AR,CRAIGHEAD,5031,5,31,164.0
AR,CRAWFORD,5033,5,33,51.4
AR,CRITTENDEN,5035,5,35,59.6
AR,CROSS,5037,5,37,59.7
AR,DALLAS,5039,5,39,31.6
AR,DESHA,5041,5,41,85.2
AR,DREW,5043,5,43,91.2
AR,FAULKNER,5045,5,45,64.0
AR,FRANKLIN,5047,5,47,40.2
AR,FULTON,5049,5,49,62.1
AR,GARLAND,5051,5,51,112.9
AR,GRANT,5053,5,53,12.6
AR,GREENE,5055,5,55,98.8
AR,HEMPSTEAD,5057,5,57,40.0
AR,HOT SPRING,5059,5,59,38.0
AR,HOWARD,5061,5,61,58.5
AR,INDEPENDENCE,5063,5,63,132.5
AR,IZARD,5065,5,65,70.5
AR,JACKSON,5067,5,67,55.0
AR,JEFFERSON,5069,5,69,98.7
AR,JOHNSON,5071,5,71,52.3
AR,LAFAYETTE,5073,5,73,91.5
AR,LAWRENCE,5075,5,75,45.2
AR,LEE,5077,5,77,82.0
AR,LINCOLN,5079,5,79,11.1
AR,LITTLE RIVER,5081,5,81,96.4
AR,LOGAN,5083,5,83,24.6
