Year,State,Dispensing_Rate,
2006,AL,115.6,
2006,AK,63.4,
2006,AZ,74.3,
2006,AR,98.3,
2006,CA,51,
2006,CO,62.2,
2006,CT,64.7,
2006,DE,86.6,
2006,DC,31.7,
2006,FL,79.7,
2006,GA,79.8,
2006,HI,42.3,
2006,ID,75.6,
2006,IL,55.6,
2006,IN,94.3,
2006,IA,59.3,
2006,KS,77.5,
2006,KY,122.6,
2006,LA,109.2,
2006,ME,83.6,
2006,MD,60.1,
2006,MA,66,
2006,MI,80.2,
2006,MN,50.3,
2006,MS,102.7,
2006,MO,80.5,
2006,MT,79.1,
2006,NE,64.3,
2006,NV,87.7,
2006,NH,75,
2006,NJ,54.7,
2006,NM,61.8,
2006,NY,44.2,
2006,NC,85.2,
2006,ND,56,
2006,OH,87.7,
2006,OK,108.7,
2006,OR,91,
2006,PA,69.5,
2006,RI,78.7,
2006,SC,90.4,
2006,SD,50,
2006,TN,124.8,
2006,TX,66.8,
2006,UT,87,
2006,VT,56.9,
2006,VA,67.2,
2006,WA,80.8,
2006,WV,129.9,
2006,WI,64.7,
2006,WY,79.9,
2007,AL,120.3,
2007,AK,66.6,
2007,AZ,77.8,
2007,AR,108.2,
2007,CA,53.6,
2007,CO,65.9,
2007,CT,67.5,
2007,DE,92.3,
2007,DC,41.2,
2007,FL,82.2,
2007,GA,82.5,
2007,HI,44.5,
2007,ID,78.8,
2007,IL,59.2,
2007,IN,99.7,
2007,IA,57.1,
2007,KS,80.6,
2007,KY,130.8,
2007,LA,110.1,
2007,ME,85.4,
2007,MD,63.3,
2007,MA,68.2,
2007,MI,85.6,
2007,MN,53.7,
2007,MS,109.9,
2007,MO,84.3,
2007,MT,81.1,
2007,NE,65.1,
2007,NV,90.2,
2007,NH,78.5,
2007,NJ,57.2,
2007,NM,69,
2007,NY,46.1,
2007,NC,87.5,
2007,ND,59.3,
2007,OH,92.7,
2007,OK,114.4,
2007,OR,95.5,
2007,PA,73.7,
2007,RI,82.2,
2007,SC,91.7,
2007,SD,49.9,
2007,TN,128.8,
2007,TX,71.2,
2007,UT,89.8,
2007,VT,56,
2007,VA,70.1,
2007,WA,84.4,
2007,WV,135.1,
2007,WI,69.2,
2007,WY,80.8,
2008,AL,126.1,
2008,AK,68.5,
2008,AZ,80.9,
2008,AR,112.1,
2008,CA,55.1,
2008,CO,67.7,
2008,CT,68.7,
2008,DE,95.4,
2008,DC,34.5,
2008,FL,84.3,
2008,GA,86.3,
2008,HI,46.6,
2008,ID,82.7,
2008,IL,60.2,
2008,IN,103.3,
2008,IA,59.1,
2008,KS,82.7,
2008,KY,136.6,
2008,LA,113.7,
2008,ME,88.7,
2008,MD,65.5,
2008,MA,69.2,
2008,MI,89.9,
2008,MN,56.5,
2008,MS,113.2,
2008,MO,86.8,
2008,MT,85.3,
2008,NE,66.2,
2008,NV,97,
2008,NH,81.7,
2008,NJ,59.5,
2008,NM,71.4,
2008,NY,48.4,
2008,NC,88.6,
2008,ND,61.7,
2008,OH,97.5,
2008,OK,111.3,
2008,OR,99.1,
2008,PA,76.5,
2008,RI,82.9,
2008,SC,94.1,
2008,SD,52.1,
2008,TN,132.9,
2008,TX,71.3,
2008,UT,91.3,
2008,VT,56.5,
2008,VA,73,
2008,WA,86.6,
2008,WV,145.5,
2008,WI,70.6,
2008,WY,81,
2009,AL,131.6,
2009,AK,67.3,
2009,AZ,84.2,
2009,AR,116,
2009,CA,55.6,
2009,CO,69.8,
2009,CT,68.1,
2009,DE,97.5,
2009,DC,34.4,
2009,FL,86.3,
2009,GA,88.2,
2009,HI,47.8,
2009,ID,85.2,
2009,IL,61,
2009,IN,105.6,
2009,IA,60.4,
2009,KS,82.8,
2009,KY,135.2,
2009,LA,113,
2009,ME,87.9,
2009,MD,66.9,
2009,MA,68.9,
2009,MI,91.6,
2009,MN,58.6,
2009,MS,117.3,
2009,MO,88.5,
2009,MT,85.8,
2009,NE,66.4,
2009,NV,94,
2009,NH,81.5,
2009,NJ,59.9,
2009,NM,75.3,
2009,NY,49.5,
2009,NC,89.3,
2009,ND,60.3,
2009,OH,100.4,
2009,OK,115,
2009,OR,99.3,
2009,PA,78.1,
2009,RI,82.5,
2009,SC,95.8,
2009,SD,52.3,
2009,TN,138.4,
2009,TX,71.8,
2009,UT,86.9,
2009,VT,54.5,
2009,VA,74.1,
2009,WA,86.1,
2009,WV,146.9,
2009,WI,71.9,
2009,WY,81,
2010,AL,134.3,
2010,AK,68.4,
2010,AZ,88.5,
2010,AR,120.8,
2010,CA,55.8,
2010,CO,72,
2010,CT,68.6,
2010,DE,101.1,
2010,DC,37.1,
2010,FL,87.6,
2010,GA,90.2,
2010,HI,50.1,
2010,ID,88.6,
2010,IL,63.1,
